,videoID,title,views,likes,favorites,comments,country,city,positive
0,dREo5nYiH0k,"Which Country Do You LOVE The Most? | COPENHAGEN, DENMARK",54593,828,0,178,Denmark,Copenhagen,True
1,MlVALq8FOXc,"Which Country Do You LOVE The Most? | (HAMBURG, GERMANY)",116657,1909,0,879,Germany,Hamburg,True
2,3iqFlG3o7G8,"Which Country Do You LOVE The Most? | SWEDEN, YSTAD",154879,2020,0,695,Sweden,Ystad,True
3,Ff01kfHDX18,Which Country Do You LOVE The Most? | FAROE ISLANDS,52404,885,0,177,Faroe Islands,,True
4,mtKorzbpm4c,"Which Country Do You LOVE The Most? | DUBLIN, IRELAND",163746,2053,0,932,Ireland,Dublin,True
5,s92ex187-ys,"Which Country Do You LOVE The Most? | ROME, ITALY",152925,2498,0,1275,Italy,Rome,True
6,71b7yvV9Xj4,Which Country Do You LOVE The Most? | AUSTRIA,88194,1465,0,338,Austria,,True
7,F4bo35fD9xk,Which Country Do You LOVE The Most? | SCOTLAND,94264,1588,0,408,Scotland,,True
8,etSwg26ptC0,Which Country Do You LOVE The Most? | FRANCE,156911,2364,0,767,France,,True
9,VW4Tu4KdXBY,Which Country Do You LOVE The Most? | PORTUGAL,177477,2964,0,850,Portugal,,True
10,HoGJBkzfjMs,"Which Country Do You LOVE The Most? | ISTANBUL, TURKEY",227903,4018,0,2513,Turkey,Istanbul,True
11,QFNdcB5pb2w,Which Country Do You LOVE The Most? | ENGLAND,590864,8673,0,3079,England,,True
12,vqcGcFqfz6w,Which Country Do You LOVE The Most? | POLAND,125968,2170,0,1085,Poland,,True
13,41o060NhbJg,Which Country Do You LOVE The Most? | CZECH REPUBLIC,105738,1738,0,642,Czech Republic,,True
14,ahgsM9zlvoQ,Which Country Do You LOVE The Most? | UKRAINE,296097,4546,0,1693,Ukraine,,True
15,zEZgI34NqoA,Which Country Do You LOVE The Most? | SERBIA,343186,6173,0,2772,Serbia,,True
16,2dRZt9_VsjQ,Which Country Do You LOVE The Most? | ESTONIA,161588,2555,0,758,Estonia,,True
17,IbJzJGhwOy4,Which Country Do You LOVE The Most? | CROATIA,171732,2921,0,963,Croatia,,True
18,nKTvvmsEchs,Which Country Do You LOVE The Most? | LIBYA,90778,2333,0,1332,Libya,,True
19,6vvVkFF-lwo,Which Country Do You LOVE The Most? | FINLAND,205019,3388,0,1332,Finland,,True
20,l1V2zYXrLVk,Which Country Do You LOVE The Most? | HOLLAND,175035,2758,0,795,Holland,,True
21,rBt4CCFAlDQ,Which Country Do You LOVE The Most? | SPAIN,285651,5095,0,2926,Spain,,True
22,MkqbO9SeTPg,Which Country Do You LOVE The Most? | ROMANIA,176770,4308,0,1970,Romania,,True
23,nbH9h2-no8Q,Which Country Do You LOVE The Most? | BULGARIA,227815,4244,0,2207,Bulgaria,,True
24,Fp3A44NXIwQ,Which Country Do You LOVE The Most? | LATVIA,111671,2290,0,830,Latvia,,True
25,304ijSeQf-A,Which Country Do You LOVE The Most? | GREECE,286832,5718,0,3766,Greece,,True
26,-LwyXRnOaHQ,Which Country Do You LOVE The Most? | KOSOVO,270408,5637,0,6474,Kosovo,,True
27,uB_i_zQqdb8,Which Country Do You LOVE The Most? | ALBANIA,391660,6997,0,4698,Albania,,True
28,-tnA5um87Jk,Which Country Do You LOVE The Most? | RUSSIA,580075,12223,0,6988,Russia,,True
29,WFAuX_MIfVA,Which Country Do You LOVE The Most? | RWANDA,50506,1433,0,719,Rwanda,,True
30,d0j0iCa7Hu0,Which Country Do You LOVE The Most? | TANZANIA,41902,1011,0,698,Tanzania,,True
31,iuB-iCAytx0,"Which Country Do You LOVE The Most? | Munich, Germany",219520,4485,0,1857,Germany,Munich,True
32,8QVAyf9545A,Which Country Do You LOVE The Most? | BELGIUM,70557,1560,0,629,Belgium,,True
33,vlvkvVguIfA,Which Country Do You LOVE The Most?  | NORTH MACEDONIA,174821,3539,0,3776,North Macedonia,,True
34,s5CGMmrfg9o,"Which Country Do You LOVE The Most? | KADIKOY, TURKEY",306128,7374,0,5065,Turkey,Kadikoy,True
35,MIKhyH7bhUo,Which Country Do You LOVE The Most? | IRAQ,198712,8151,0,3138,Iraq,,True
36,FhyFdhYDGSU,Which Country Do You LOVE The Most? | LITHUANIA,112151,3632,0,749,Lithuania,,True
37,_robrrvMwRs,Which Country Do You LOVE The Most? | BOSNIA,214964,4717,0,2485,Bosnia,,True
